OriginalStatements,SimplifiedStatements
"Ironically, now that photography is securely established as a fine art, many photographers find it pretentious or irrelevant to label it as such.","Now that photography is widely accepted as a fine art, many photographers think calling it that is unnecessary or unimportant."
"Serious photographers variously claim to be finding, recording, impartially observing, witnessing events, exploring themselves-anything but making works of art.","Serious photographers often say they are discovering, documenting, neutrally watching, or experiencing events, or even examining their own selves, rather than creating art."
"This method of pumping heat from one place to another served mankind well when refrigerators' main jobs were preserving food and, as air conditioners, cooling buildings.",This method of moving heat has been effective for preserving food in refrigerators and cooling buildings with air conditioners.
"They are based on a robust and effective idea--draw heat from the thing you want to cool by evaporating a liquid next to it, and then dump that heat by pumping the vapour elsewhere and condensing it.","They work by using a simple, powerful concept: remove heat from an object by turning a liquid into vapor next to it, then move the vapor to a different location and turn it back into a liquid, releasing the heat."
One set of candidates are known as paraelectric materials.,Paraelectric materials are a type of candidate.
"An array of tiny pieces of paraelectric material can sense the heat radiated by, for example, a person, and the pattern of the array's electrical outputs can then be used to construct an image.",A small array of paraelectric material can detect a person's body heat and create an image from the electrical signals it produces.
"One consequence of Moore's Law, which describes the doubling of the number of transistors on a chip every 18 months, is that the amount of heat produced doubles as well.","Moore's Law leads to twice as many transistors on a chip every 18 months, causing the heat generated to also double."
"And the idea of shifting from single-core processors to systems that divided processing power between first two, and then four, subunits, in order to spread the thermal load, also seems to have the end of the road in sight.",The concept of moving from single-core processors to systems with two and then four cores to distribute heat appears to be nearing its limit.
"The trick to a good thermoelectric material is a crystal structure in which electrons can flow freely, but the path of phonons--heat-carrying vibrations that are larger than electrons--is constantly interrupted. In practice, this trick is hard to pull off, and thermoelectric materials are thus less efficient than paraelectric ones (or, at least, than those examined by Dr Mischenko).","A good thermoelectric material needs a structure that lets electrons move easily while blocking larger heat vibrations. However, it's difficult to achieve this, making thermoelectric materials generally less efficient than the paraelectric types studied by Dr. Mischenko."
"Shy of competition, eager for artificially high prices, they are helping to block the efficient generation, transmission and distribution of energy on the continent.","They avoid competition and prefer high prices, hindering the effective production and delivery of energy in the region."
"Companies that dominate national markets have, so far, had little interest in improving the interconnections which would mean lower prices for consumers across the continent.",Companies controlling national markets haven't shown much interest in enhancing network links that could reduce consumer prices continent-wide.
"The European Commission, which on the same day presented its recommendation for improving EU energy policy, also wants to see the unbundling of ownership, the legal separation of energy suppliers and transporters, something that the integrated energy companies and interested governments, notably in France and Germany, are bound to oppose ferociously.","The European Commission recommended changes to EU energy policy and supports separating energy suppliers from transporters. However, large energy companies and some governments, especially in France and Germany, are likely to strongly resist this idea."
The risk is that concerns about security of supply may be used spuriously by those in Europe who oppose the sort of liberalisation encouraged by Ms Kroes.,There is a risk that some people in Europe might falsely use supply security worries to oppose the market liberalization supported by Ms. Kroes.
"Protection has been tried for long enough and evidently has not worked for the internal market, nor have these companies secured the best deals for consumers from the Russians.","Protection has not been effective for the internal market, and companies have failed to get the best deals for consumers from the Russians."
"All that is laudable enough, but will also require political horse-trading as governments Europe's leaders are due to meet in March to discuss the various energy proposals try to avoid commitments that may hurt domestic energy companies or make European firms less competitive than rivals in America, Asia and elsewhere.","The sentence is complex, but it can be simplified as follows:

European leaders will meet in March to discuss energy proposals. They aim to achieve commendable goals but must navigate political bargaining. They want to protect their domestic energy companies and keep European firms competitive with those in America, Asia, and other regions."
"Achieving either target would mean promoting cleaner cars, a more effective emissions-trading system for Europe, wider use of public transport and a sharp increase in the use of renewable sources of energy, like wind and solar power.","Reaching any of the goals would involve encouraging the use of cleaner cars, improving Europe's emissions trading, expanding public transportation, and greatly boosting renewable energy like wind and solar power."
"If successful, virus therapy could eventually form a third pillar alongside radiotherapy and chemotherapy in the standard arsenal against cancer, while avoiding some of the debilitating side-effects.","Virus therapy might become a new main treatment for cancer alongside radiotherapy and chemotherapy, with fewer harsh side effects."
Cancer-killing viruses exploit the fact that cancer cells suppress the body's local immune system.,Viruses that kill cancer take advantage of cancer cells weakening the body's nearby immune defenses.
"Prof Seymour's innovative solution is to mask the virus from the body's immune system, effectively allowing the viruses to do what chemotherapy drugs do - spread through the blood and reach tumours wherever they are.","Prof Seymour's new method hides the virus from the immune system, letting it travel through the blood to attack tumors like chemotherapy drugs do."
"After the stealth virus infects the tumour, it replicates, but the copies do not have the chemical modifications.","The stealth virus multiplies inside the tumor, but the new viruses lack the chemical changes."
"Two viruses are likely to be examined in the first clinical trials: adenovirus, which normally causes a cold-like illness, and vaccinia, which causes cowpox and is also used in the vaccine against smallpox.","The first clinical trials will probably test two viruses: adenovirus, which usually leads to cold symptoms, and vaccinia, which is responsible for cowpox and is used in the smallpox vaccine."
"For years European economies had been lagging dismally behind America (to say nothing of Asia), but in 2006 the large continental economies had one of their best years for a decade, briefly outstripping America in terms of growth.","European economies were performing poorly compared to America and Asia for many years, but in 2006, they had a very good year, growing faster than America for a short time."
"Every four or five years, European countries take a large stride towards further integration by signing a new treaty: the Maastricht treaty in 1992, the Treaty of Amsterdam in 1997, the Treaty of Nice in 2001.","Every 4-5 years, European nations make significant progress in integration by adopting new treaties, such as the Maastricht Treaty in 1992, the Amsterdam Treaty in 1997, and the Nice Treaty in 2001."
"And in 2005 they were supposed to ratify a European constitution, laying the ground for yet more integration until the calm rhythm was rudely shattered by French and Dutch voters.","In 2005, they planned to approve a European constitution to further integrate, but French and Dutch voters unexpectedly rejected it."
"Government leaders have already agreed to celebrate it ceremoniously, restating their commitment to 'ever closer union' and the basic ideals of European unity.","Government leaders have agreed to celebrate with ceremony, reaffirming their dedication to an increasingly united Europe and its fundamental principles."
But it does not take a Machiavelli to spot that once governments have signed the declaration (and it seems unlikely anyone would be so uncollegiate as to veto it) they will already be halfway towards committing themselves to a new treaty.,"Even without being very cunning, it's clear that once governments sign the declaration (and it's unlikely anyone will reject it), they will be significantly closer to agreeing to a new treaty."
"Neoclassical economics is built on the assumption that humans are rational beings who have a clear idea of their best interests and strive to extract maximum benefit (or 'utility', in economist-speak) from any situation.","Neoclassical economics assumes that people are rational, know what's best for them, and always try to get the most benefit from any situation."
"According to the German government which holds the EU's agenda-setting presidency during the first half of 2007, there will be a new draft of a slimmed-down constitution ready by the middle of the year, perhaps to put to voters, perhaps not.","The German government, leading the EU's agenda in early 2007, plans to have a simplified constitution draft by mid-year, which may or may not be voted on."
"Then, according to bureaucratic planners in Brussels and Berlin, blithely ignoring the possibility of public rejection, the whole thing will be signed, sealed and a new constitution delivered in 2009-10.","Bureaucratic planners in Brussels and Berlin expect to finalize and deliver a new constitution by 2009-10, without considering the chance of public disapproval."
"UK and Australian health agencies have released information about 240 cases of odd occurrences, including sleepwalking, amnesia and hallucinations among people taking the drug zolpidem.","UK and Australian health authorities reported 240 cases of unusual events like sleepwalking, memory loss, and hallucinations in individuals using the drug zolpidem."
"While doctors say that zolpidem can offer much-needed relief for people with sleep disorders, they caution that these newly reported cases should prompt a closer look at its possible side effects.","Doctors suggest that zolpidem can help those with sleep problems, but they also warn that recent cases require a more careful examination of its potential side effects."
"The newly reported cases in the UK and Australia add to a growing list of bizarre sleepwalking episodes linked to the drug in other countries, including reports of people sleep-driving while on the medication.","New cases in the UK and Australia of strange sleepwalking incidents related to the drug, including sleep-driving, are similar to those in other countries."
The drug is a benzodiazepine-like hypnotic that promotes deep sleep by interacting with brain receptors for a chemical called gamma-aminobutyric acid.,The drug is similar to a benzodiazepine and helps induce deep sleep by affecting brain receptors for a substance known as gamma-aminobutyric acid.
"The product information for prescribers advises that psychiatric adverse effects, including hallucinations, sleepwalking and nightmares, are more likely in the elderly, and treatment should be stopped if they occur.","The guide for doctors says that older people are more likely to have mental side effects like hallucinations, sleepwalking, and nightmares from the medicine, and if these happen, the medicine should be stopped."
Patient advocacy groups say they would like government health agencies and drug companies to take a closer look at the possible risks associated with sleep medicines.,Patient advocacy groups want health agencies and drug companies to examine the potential risks of sleep medications more carefully.
"Millions of people have taken the drug without experiencing any strange side effects, points out Richard Millman at Brown Medical School, director of the Sleep Disorders Center of Lifespan Hospitals in Providence, Rhode Island, US.","Richard Millman, director of the Sleep Disorders Center at Lifespan Hospitals in Providence, Rhode Island, and at Brown Medical School, notes that millions of people have used the drug without any unusual side effects."
"The Guardian has learned that the FSA will launch a series of 10-second television adverts in January telling shoppers how to follow a red, amber and green traffic light labelling system on the front of food packs, which is designed to tackle Britain's obesity epidemic.","The Guardian reports that in January, the FSA will start airing short TV ads to teach viewers about a color-coded label system on food packaging aimed at addressing obesity in the UK."
"The industry is planning a major marketing campaign for a competing labelling system which avoids colour-coding in favour of information about the percentage of ""guideline daily amounts"" (GDAs) of fat, salt and sugar contained in their products.","The industry is preparing a big marketing push for a new labelling system that doesn't use color codes but instead shows the percentage of fat, salt, and sugar based on recommended daily amounts in their products."
"Sources at the TV regulators are braced for a legal challenge from the industry and have described the lobbying efforts to block any new ad ban or colour-coded labelling as ""the most ferocious we've ever experienced"".",TV regulators expect a lawsuit from the industry and say the attempts to stop a new ad ban or colour-coded labels are the strongest lobbying they've ever seen.
"The FSA is understood to have briefed its ad agency, United, before Christmas, and will aim to air ads that are ""non-confrontational, humorous and factual"" as a counterweight to industry's efforts about the same time.","The FSA reportedly informed its ad agency, United, before Christmas. They plan to broadcast ads that are friendly, funny, and truthful to balance out the industry's campaigns around the same period."
"Ehrlich's model shows that whilst most of these oscillations cancel each other out, some reinforce one another and become long-lived temperature variations.","Ehrlich's model indicates that although many fluctuations offset each other, some amplify each other and result in persistent temperature changes."
"For example, if sea ice begins to form because of a slight cooling, carbon dioxide that would otherwise have found its way into the atmosphere as part of the carbon cycle is locked into the ice.","If sea ice forms due to cooling, carbon dioxide that would normally be released into the air gets trapped in the ice instead."
"One such cycle describes the way Earth's orbit gradually changes shape from a circle to a slight ellipse and back again roughly every 100,000 years.","Earth's orbit slowly shifts from circular to slightly elliptical and back about every 100,000 years."
"However, Edwards believes the small changes in solar heating produced by Milankovitch cycles are then amplified by feedback mechanisms on Earth.",Edwards thinks that the minor variations in the sun's heat caused by Milankovitch cycles are increased by Earth's feedback systems.
