OriginalStatements,SimplifiedStatements
"In medical tomography x-rays map the human body's density variations (and hence internal organs); the information from the x-rays, transmitted through the body along many different paths, is recombined to form three-dimensional images of the body's interior.","In medical tomography, x-rays are used to create 3D images of the inside of the human body by measuring the density of different parts, including organs. The x-rays pass through the body in various directions, and the data collected is put together to form these images."
"Ironically, now that photography is securely established as a fine art, many photographers find it pretentious or irrelevant to label it as such.","Now that photography is widely accepted as a fine art, many photographers think calling it that is unnecessary or unimportant."
"Serious photographers variously claim to be finding, recording, impartially observing, witnessing events, exploring themselves-anything but making works of art.","Serious photographers often say they are doing things like discovering, documenting, objectively watching, or experiencing events, or even examining their own selves, rather than creating art."
"This method of pumping heat from one place to another served mankind well when refrigerators' main jobs were preserving food and, as air conditioners, cooling buildings.",This method of moving heat has been effective for preserving food in refrigerators and cooling buildings with air conditioners.
"They are based on a robust and effective idea--draw heat from the thing you want to cool by evaporating a liquid next to it, and then dump that heat by pumping the vapour elsewhere and condensing it.","They work on a strong and efficient concept: remove heat from the object you want to cool by turning a liquid into vapor near it, and then get rid of that heat by moving the vapor to a different location and turning it back into a liquid."
One set of candidates are known as paraelectric materials.,Paraelectric materials are a type of candidate.
"An array of tiny pieces of paraelectric material can sense the heat radiated by, for example, a person, and the pattern of the array's electrical outputs can then be used to construct an image.",A small array of paraelectric material can detect a person's body heat and create an image from the electrical signals it produces.
"One consequence of Moore's Law, which describes the doubling of the number of transistors on a chip every 18 months, is that the amount of heat produced doubles as well.","Moore's Law suggests that the number of transistors on a chip doubles every 18 months, leading to a doubling of heat production as well."
"And the idea of shifting from single-core processors to systems that divided processing power between first two, and then four, subunits, in order to spread the thermal load, also seems to have the end of the road in sight.",The concept of moving from single-core processors to systems with two and then four cores to distribute heat appears to be nearing its limit.
"The trick to a good thermoelectric material is a crystal structure in which electrons can flow freely, but the path of phonons--heat-carrying vibrations that are larger than electrons--is constantly interrupted. In practice, this trick is hard to pull off, and thermoelectric materials are thus less efficient than paraelectric ones (or, at least, than those examined by Dr Mischenko).","A good thermoelectric material needs a structure that lets electrons move easily while blocking heat vibrations. However, making such materials is difficult, and they are not as efficient as the paraelectric materials studied by Dr. Mischenko."
"Shy of competition, eager for artificially high prices, they are helping to block the efficient generation, transmission and distribution of energy on the continent.","They are avoiding competition and keen on keeping prices high, which hinders the effective production and delivery of energy in the region."
"Companies that dominate national markets have, so far, had little interest in improving the interconnections which would mean lower prices for consumers across the continent.",Companies dominating national markets have shown little interest in improving connections that could lower consumer prices continent-wide.
"The European Commission, which on the same day presented its recommendation for improving EU energy policy, also wants to see the unbundling of ownership, the legal separation of energy suppliers and transporters, something that the integrated energy companies and interested governments, notably in France and Germany, are bound to oppose ferociously.","The European Commission has recommended changes to improve EU energy policy, including separating energy suppliers from transporters. However, large energy companies and some governments, especially in France and Germany, are likely to strongly resist this idea."
The risk is that concerns about security of supply may be used spuriously by those in Europe who oppose the sort of liberalisation encouraged by Ms Kroes.,There is a risk that some people in Europe might falsely use supply security worries to oppose the market liberalization supported by Ms. Kroes.
"Protection has been tried for long enough and evidently has not worked for the internal market, nor have these companies secured the best deals for consumers from the Russians.","Protection has not been effective for the internal market, and companies have failed to get the best deals for consumers from the Russians."
"All that is laudable enough, but will also require political horse-trading as governments Europe's leaders are due to meet in March to discuss the various energy proposals try to avoid commitments that may hurt domestic energy companies or make European firms less competitive than rivals in America, Asia and elsewhere.","The sentence is quite complex, but here's a simplified version:

European leaders will meet in March to talk about energy plans. They want to achieve good results, but they also need to make deals because they don't want to harm their own energy companies or make them less competitive than those in America, Asia, and other places."
"Achieving either target would mean promoting cleaner cars, a more effective emissions-trading system for Europe, wider use of public transport and a sharp increase in the use of renewable sources of energy, like wind and solar power.","Meeting either goal requires encouraging the use of cleaner cars, improving Europe's emissions trading, expanding public transportation, and greatly boosting renewable energy like wind and solar power."
"If successful, virus therapy could eventually form a third pillar alongside radiotherapy and chemotherapy in the standard arsenal against cancer, while avoiding some of the debilitating side-effects.","Virus therapy might become a new main treatment for cancer, along with radiotherapy and chemotherapy, and could have fewer severe side effects."
Cancer-killing viruses exploit the fact that cancer cells suppress the body's local immune system.,Viruses that kill cancer take advantage of cancer cells weakening the local immune system.
"Prof Seymour's innovative solution is to mask the virus from the body's immune system, effectively allowing the viruses to do what chemotherapy drugs do - spread through the blood and reach tumours wherever they are.","Prof Seymour's new method hides the virus from the immune system, letting it travel through the blood like chemotherapy drugs to target tumors anywhere in the body."
"After the stealth virus infects the tumour, it replicates, but the copies do not have the chemical modifications.","Once the stealth virus enters the tumor, it makes copies of itself without the chemical changes."
"Two viruses are likely to be examined in the first clinical trials: adenovirus, which normally causes a cold-like illness, and vaccinia, which causes cowpox and is also used in the vaccine against smallpox.","The first clinical trials will probably test two viruses: adenovirus, which usually leads to cold symptoms, and vaccinia, which is responsible for cowpox and is used in the smallpox vaccine."
"For years European economies had been lagging dismally behind America (to say nothing of Asia), but in 2006 the large continental economies had one of their best years for a decade, briefly outstripping America in terms of growth.","European economies were behind America's for a long time, but in 2006, they had a great year and grew faster than America for a short time."
"Every four or five years, European countries take a large stride towards further integration by signing a new treaty: the Maastricht treaty in 1992, the Treaty of Amsterdam in 1997, the Treaty of Nice in 2001.","Every four or five years, European countries significantly integrate further by signing new treaties, such as the Maastricht Treaty in 1992, the Amsterdam Treaty in 1997, and the Nice Treaty in 2001."
"And in 2005 they were supposed to ratify a European constitution, laying the ground for yet more integration until the calm rhythm was rudely shattered by French and Dutch voters.","In 2005, they planned to approve a European constitution to further unite Europe, but French and Dutch voters unexpectedly rejected it."
"Government leaders have already agreed to celebrate it ceremoniously, restating their commitment to 'ever closer union' and the basic ideals of European unity.","Government leaders have agreed to celebrate with ceremony, reaffirming their dedication to increasingly close unity and the fundamental principles of European togetherness."
But it does not take a Machiavelli to spot that once governments have signed the declaration (and it seems unlikely anyone would be so uncollegiate as to veto it) they will already be halfway towards committing themselves to a new treaty.,"Even without being very cunning, it's clear that once governments sign the declaration (and it's improbable that anyone would reject it), they will be significantly closer to agreeing to a new treaty."
"Neoclassical economics is built on the assumption that humans are rational beings who have a clear idea of their best interests and strive to extract maximum benefit (or 'utility', in economist-speak) from any situation.","Neoclassical economics assumes that people are rational and know what's best for them, trying to get the most benefit from every situation."
"According to the German government which holds the EU's agenda-setting presidency during the first half of 2007, there will be a new draft of a slimmed-down constitution ready by the middle of the year, perhaps to put to voters, perhaps not.","The German government, leading the EU's agenda in early 2007, plans to have a simplified constitution draft by mid-year, which may or may not be presented to voters."
"Then, according to bureaucratic planners in Brussels and Berlin, blithely ignoring the possibility of public rejection, the whole thing will be signed, sealed and a new constitution delivered in 2009-10.","Bureaucratic planners in Brussels and Berlin expect that, without considering public opinion, a new constitution will be finalized and implemented in 2009-10."
"UK and Australian health agencies have released information about 240 cases of odd occurrences, including sleepwalking, amnesia and hallucinations among people taking the drug zolpidem.","Health authorities in the UK and Australia reported 240 cases of unusual events like sleepwalking, memory loss, and hallucinations in people using the drug zolpidem."
"While doctors say that zolpidem can offer much-needed relief for people with sleep disorders, they caution that these newly reported cases should prompt a closer look at its possible side effects.","Doctors suggest that zolpidem can help those with sleep problems, but they also warn that recent cases require a more careful examination of its potential side effects."
"The newly reported cases in the UK and Australia add to a growing list of bizarre sleepwalking episodes linked to the drug in other countries, including reports of people sleep-driving while on the medication.","New cases in the UK and Australia of strange sleepwalking incidents related to the drug, including sleep-driving, are increasing worldwide."
The drug is a benzodiazepine-like hypnotic that promotes deep sleep by interacting with brain receptors for a chemical called gamma-aminobutyric acid.,The drug is similar to a benzodiazepine and helps induce deep sleep by affecting brain receptors for a substance known as gamma-aminobutyric acid.
"The product information for prescribers advises that psychiatric adverse effects, including hallucinations, sleepwalking and nightmares, are more likely in the elderly, and treatment should be stopped if they occur.","The guide for doctors says that older people are more likely to have mental side effects like hallucinations, sleepwalking, and nightmares from the medicine, and if these happen, the medicine should be stopped."
Patient advocacy groups say they would like government health agencies and drug companies to take a closer look at the possible risks associated with sleep medicines.,Patient advocacy groups want health agencies and drug companies to examine the potential risks of sleep medications more carefully.
"Millions of people have taken the drug without experiencing any strange side effects, points out Richard Millman at Brown Medical School, director of the Sleep Disorders Center of Lifespan Hospitals in Providence, Rhode Island, US.","Richard Millman, director of the Sleep Disorders Center at Lifespan Hospitals in Providence, Rhode Island, and at Brown Medical School, notes that millions of people have used the drug without any unusual side effects."
"The Guardian has learned that the FSA will launch a series of 10-second television adverts in January telling shoppers how to follow a red, amber and green traffic light labelling system on the front of food packs, which is designed to tackle Britain's obesity epidemic.","The Guardian reports that in January, the FSA will start airing short TV ads to teach consumers about a color-coded label system on food packaging aimed at addressing obesity in the UK."
"The industry is planning a major marketing campaign for a competing labelling system which avoids colour-coding in favour of information about the percentage of ""guideline daily amounts"" (GDAs) of fat, salt and sugar contained in their products.","The industry is preparing a big marketing push for a new label system that doesn't use color codes but shows the percent of daily recommended amounts of fat, salt, and sugar in their products."
"Sources at the TV regulators are braced for a legal challenge from the industry and have described the lobbying efforts to block any new ad ban or colour-coded labelling as ""the most ferocious we've ever experienced"".",TV regulators expect a lawsuit from the industry and say the efforts to stop a new ad ban or colour-coded labels are the strongest they've ever seen.
"The FSA is understood to have briefed its ad agency, United, before Christmas, and will aim to air ads that are ""non-confrontational, humorous and factual"" as a counterweight to industry's efforts about the same time.","The FSA reportedly informed its ad agency, United, before Christmas. They plan to broadcast ads that are friendly, funny, and truthful to balance out the industry's campaigns around the same period."
"Ehrlich's model shows that whilst most of these oscillations cancel each other out, some reinforce one another and become long-lived temperature variations.","Ehrlich's model indicates that although many of these fluctuations neutralize each other, some amplify each other and result in persistent temperature changes."
"For example, if sea ice begins to form because of a slight cooling, carbon dioxide that would otherwise have found its way into the atmosphere as part of the carbon cycle is locked into the ice.","If sea ice starts to form due to a small drop in temperature, carbon dioxide that would normally be released into the air gets trapped in the ice instead."
"One such cycle describes the way Earth's orbit gradually changes shape from a circle to a slight ellipse and back again roughly every 100,000 years.","Earth's orbit slowly shifts from circular to slightly elliptical and back every 100,000 years."
"However, Edwards believes the small changes in solar heating produced by Milankovitch cycles are then amplified by feedback mechanisms on Earth.",Edwards thinks that Earth's feedback mechanisms intensify the minor changes in solar heating caused by Milankovitch cycles.
