OriginalStatements,SimplifiedStatements
"Forest stands of red oaks, with their tannin-rich foliage, may even provide caterpillars with safe havens from disease.","The existence of sharp-tasting materials in the leaves of red trees might act as a defense system for young butterflies, protecting them until they transform into grown-up moths or butterflies and possibly stopping sickness."
"Although a historical lack of access to formal Spanish-language education initially limited the opportunities of some Chicanos to hone their skills as writers of Spanish, their bilingual culture clearly fostered an exuberant and compelling oral tradition.","At first, Americans of Mexican heritage found it hard to improve their writing skills in Spanish because there weren't many chances to learn. But, being able to speak two languages because of their mix of Mexican and American traditions helped them become very good at telling stories out loud."
"Works in English, however, often required the elimination of nuance or colloquialism, the adoption of a formal tone, and the adjustment of themes or ideas to satisfy the different demands of national publications.","Often, English texts are changed to remove informal or subtle phrases, take on a serious style, and tweak the main ideas or subjects to follow the official rules for putting out books or articles in different countries."
"Researchers reasoned that low-frequency sound waves, because they are so well described mathematically and because even small perturbations in emitted sound waves can be detected, could be transmitted through the ocean over many different paths and that the properties of the ocean's interior could be deduced on the basis of how the ocean altered the signals.","Researchers thought that since low sounds can be detected and are responsive to changes, they could be used to investigate the sea. They intended to transmit these sounds through the water and examine the changes to reveal the hidden features of the sea."
"In medical tomography x-rays map the human body's density variations (and hence internal organs); the information from the x-rays, transmitted through the body along many different paths, is recombined to form three-dimensional images of the body's interior.","Medical imaging uses x-rays to create pictures of the inside of the body by spotting differences in how thick or thin the tissues are. The x-rays go through the body from different directions, and this information is then changed into 3D pictures that show what's inside the body's organs and other parts."
"Ironically, now that photography is securely established as a fine art, many photographers find it pretentious or irrelevant to label it as such.","People now commonly recognize photography as a type of art, so much so that many people who take photos don't feel the need to specifically call it art anymore."
"Serious photographers variously claim to be finding, recording, impartially observing, witnessing events, exploring themselves-anything but making works of art.","Serious photographers often talk about their skill as a way to find and record moments or fairly watch what's happening. They usually see their picture-taking as a technique to investigate their own stories, more than just making art."
"This method of pumping heat from one place to another served mankind well when refrigerators' main jobs were preserving food and, as air conditioners, cooling buildings.","Fridges work by moving warmth out to keep food from spoiling, while air cooling units use this process to lower the temperature inside buildings."
"They are based on a robust and effective idea--draw heat from the thing you want to cool by evaporating a liquid next to it, and then dump that heat by pumping the vapour elsewhere and condensing it.","They work by taking in warmth from the item that needs cooling through a liquid that turns into a gas close by. This turned-into-gas liquid is then moved to a different place, where it turns back into a liquid, giving off the warmth it had taken in during the process."
One set of candidates are known as paraelectric materials.,Materials that respond to electric currents are thought about for different uses because they can quickly change when they come into contact with these currents.
"An array of tiny pieces of paraelectric material can sense the heat radiated by, for example, a person, and the pattern of the array's electrical outputs can then be used to construct an image.","A special network made of a one-of-a-kind substance can detect the warmth given off by things, like the heat from a person. It then changes these heat measurements into electric messages, which are used to create a picture you can see."
"One consequence of Moore's Law, which describes the doubling of the number of transistors on a chip every 18 months, is that the amount of heat produced doubles as well.","Gordon Moore's principle indicates that about every 18 months, the number of tiny on-off devices on a computer chip made of a common semiconducting material doubles, which causes the chip to generate more warmth."
"And the idea of shifting from single-core processors to systems that divided processing power between first two, and then four, subunits, in order to spread the thermal load, also seems to have the end of the road in sight.","The concept of using computer chips with several main processing units, like two or four, to control the spread of heat is nearing its highest level of success."
"The trick to a good thermoelectric material is a crystal structure in which electrons can flow freely, but the path of phonons--heat-carrying vibrations that are larger than electrons--is constantly interrupted. In practice, this trick is hard to pull off, and thermoelectric materials are thus less efficient than paraelectric ones (or, at least, than those examined by Dr Mischenko).","To successfully change differences in warmth into electric power, a substance must let electric current move easily while also blocking the transfer of warmth through the shaking of its tiny pieces. Making these substances is difficult, and they usually don't work as well as those substances that respond to electric forces without getting warm, which is what Dr. Mischenko is studying."
"Shy of competition, eager for artificially high prices, they are helping to block the efficient generation, transmission and distribution of energy on the continent.","They avoid competing and prefer keeping prices high, which then obstructs the effective spread and accessibility of energy throughout the area."
"Companies that dominate national markets have, so far, had little interest in improving the interconnections which would mean lower prices for consumers across the continent.","Companies dominating countrywide markets have shown little excitement about upgrading their systems, which might result in reduced costs for shoppers all over the nation."
"The European Commission, which on the same day presented its recommendation for improving EU energy policy, also wants to see the unbundling of ownership, the legal separation of energy suppliers and transporters, something that the integrated energy companies and interested governments, notably in France and Germany, are bound to oppose ferociously.","The European Commission has suggested changes to improve the European Union's energy policy by supporting the separation of energy supply companies from those managing its distribution. However, this suggestion is likely to encounter strong resistance from big energy companies and some national governments, especially in France and Germany, where the concept might not be well received."
The risk is that concerns about security of supply may be used spuriously by those in Europe who oppose the sort of liberalisation encouraged by Ms Kroes.,"In Europe, worries about keeping a steady flow of goods might be claimed by some as an excuse to resist attempts to open up and boost rivalry in the market, a push firmly supported by Ms. Kroes."
"Protection has been tried for long enough and evidently has not worked for the internal market, nor have these companies secured the best deals for consumers from the Russians.","The internal market has faced challenges because its safety steps haven't worked, leading to businesses not being able to get the best deals for buyers when doing business with Russian partners."
"All that is laudable enough, but will also require political horse-trading as governments Europe's leaders are due to meet in March to discuss the various energy proposals try to avoid commitments that may hurt domestic energy companies or make European firms less competitive than rivals in America, Asia and elsewhere.","European officials plan to talk about energy plans in March, but they might be unsure about making any deals that could weaken their local energy businesses or reduce their advantage against American, Asian, and other worldwide companies."
"Achieving either target would mean promoting cleaner cars, a more effective emissions-trading system for Europe, wider use of public transport and a sharp increase in the use of renewable sources of energy, like wind and solar power.","Reaching these eco-friendly objectives needs a complex strategy. This involves encouraging the use of less polluting cars, improving how well Europe's carbon exchange program works, making public transport systems bigger, and greatly growing the dependence on energy sources that can be replenished, like sunlight and wind energy."
"If successful, virus therapy could eventually form a third pillar alongside radiotherapy and chemotherapy in the standard arsenal against cancer, while avoiding some of the debilitating side-effects.","Using viruses as a treatment could become an important way to fight cancer, similar to usual treatments like radiation or drug therapy, but it has the benefit of leading to fewer serious side effects."
Cancer-killing viruses exploit the fact that cancer cells suppress the body's local immune system.,Viruses that kill cancer take advantage of the reduced protective barriers around cancer cells to focus on and eliminate them successfully.
"Prof Seymour's innovative solution is to mask the virus from the body's immune system, effectively allowing the viruses to do what chemotherapy drugs do - spread through the blood and reach tumours wherever they are.","Seymour, an instructor, has created a new way that allows viruses to slip past the body's protective measures, similar to how cancer treatment medications work. This approach lets the virus move through the blood and aim at lumps of abnormal cells without being noticed, preventing destruction by the body's defense system."
"After the stealth virus infects the tumour, it replicates, but the copies do not have the chemical modifications.",The cunning virus slips into a cell and makes copies of itself without changing the cell's chemical makeup.
"Two viruses are likely to be examined in the first clinical trials: adenovirus, which normally causes a cold-like illness, and vaccinia, which causes cowpox and is also used in the vaccine against smallpox.","The first tests on people will probably concentrate on studying the impacts of two particular types of germs: the adenovirus, which is often linked to symptoms similar to a common cold, and the vaccinia virus, recognized for leading to cowpox and being very important in the development of the smallpox vaccine."
"For years European economies had been lagging dismally behind America (to say nothing of Asia), but in 2006 the large continental economies had one of their best years for a decade, briefly outstripping America in terms of growth.","For many years, Europe's economy expanded more slowly than America's and some areas in the East. But in 2006, Europe experienced a notable improvement, with its economy increasing at a speed that exceeded America's for a short time, displaying its strongest performance in a decade."
"Every four or five years, European countries take a large stride towards further integration by signing a new treaty: the Maastricht treaty in 1992, the Treaty of Amsterdam in 1997, the Treaty of Nice in 2001.","About every four to five years, European countries make significant steps forward in coming together by making new deals. This regular sequence of advancement is shown by important agreements, such as the agreement made in Maastricht in 1992, the one in Amsterdam in 1997, and the one in Nice in 2001, with each deal indicating a move ahead in their shared path toward more unity."
"And in 2005 they were supposed to ratify a European constitution, laying the ground for yet more integration until the calm rhythm was rudely shattered by French and Dutch voters.","In 2005, the goal was to accept a European set of fundamental principles that would bring member countries together, but this plan encountered a surprising obstacle when people who vote in France and the Netherlands said no to it in public votes."
"Government leaders have already agreed to celebrate it ceremoniously, restating their commitment to 'ever closer union' and the basic ideals of European unity.",Officials have made the choice to organize a gathering to honor and renew their dedication to the basic ideas of a more united Europe.
But it does not take a Machiavelli to spot that once governments have signed the declaration (and it seems unlikely anyone would be so uncollegiate as to veto it) they will already be halfway towards committing themselves to a new treaty.,"By agreeing to the declaration, which is expected to get the green light, nations will make an important move towards achieving a new deal, even though they might not be very sharp or smart."
"Neoclassical economics is built on the assumption that humans are rational beings who have a clear idea of their best interests and strive to extract maximum benefit (or 'utility', in economist-speak) from any situation.","Economics of the neoclassical kind assumes that people make logical decisions, with the goal of increasing their gains by choosing the alternatives they think will bring them the most benefit in different circumstances."
"According to the German government which holds the EU's agenda-setting presidency during the first half of 2007, there will be a new draft of a slimmed-down constitution ready by the middle of the year, perhaps to put to voters, perhaps not.","In the first part of 2007, the government of Germany led the European Union's work to make an easier version of its main laws by the middle of the year. This effort aimed to make the laws easier to understand and was supposed to be prepared for possible decision-making, but it was not guaranteed that it would get to that point."
"Then, according to bureaucratic planners in Brussels and Berlin, blithely ignoring the possibility of public rejection, the whole thing will be signed, sealed and a new constitution delivered in 2009-10.","Officials in the capital cities of Belgium and Germany are actively getting ready to introduce a new set of fundamental rules by the year 2009-10, and they are doing this without considering what the general public thinks."
"UK and Australian health agencies have released information about 240 cases of odd occurrences, including sleepwalking, amnesia and hallucinations among people taking the drug zolpidem.","Health officials in the UK and Australia have noted 240 cases of unusual events among individuals using the sleep medication zolpidem, such as walking while asleep, forgetting recent happenings, and seeing things that aren't there."
"While doctors say that zolpidem can offer much-needed relief for people with sleep disorders, they caution that these newly reported cases should prompt a closer look at its possible side effects.","Health professionals suggest using the sleeping pill zolpidem, but they warn about using it because of new discoveries of potential harmful side effects."
"The newly reported cases in the UK and Australia add to a growing list of bizarre sleepwalking episodes linked to the drug in other countries, including reports of people sleep-driving while on the medication.","There is an increasing pattern in the UK, Australia, and all over the world of strange events related to people walking in their sleep, with some individuals even driving while they are not awake, which has been connected to a specific drug."
The drug is a benzodiazepine-like hypnotic that promotes deep sleep by interacting with brain receptors for a chemical called gamma-aminobutyric acid.,"The drug works like a sleep aid, encouraging peaceful sleep by working with parts of the brain that react to a relaxant that happens naturally."
"The product information for prescribers advises that psychiatric adverse effects, including hallucinations, sleepwalking and nightmares, are more likely in the elderly, and treatment should be stopped if they occur.","Medical professionals recommend that this drug can lead to mind-related side effects in older people, such as seeing things that aren't there, walking while asleep, and bad dreams. If these signs appear, stopping the use of the drug is recommended."
Patient advocacy groups say they would like government health agencies and drug companies to take a closer look at the possible risks associated with sleep medicines.,Health support groups are strongly encouraging government health departments and medicine companies to pay more attention to the risks connected with sleep-inducing drugs for people receiving medical treatment.
"Millions of people have taken the drug without experiencing any strange side effects, points out Richard Millman at Brown Medical School, director of the Sleep Disorders Center of Lifespan Hospitals in Providence, Rhode Island, US.","Richard Millman, the head of the Sleep Disorders Center at Lifespan's network of hospitals in Providence, Rhode Island, and connected with Brown Medical School, has noticed that the drug in question has been taken by millions without any reports of rare side effects."
"The Guardian has learned that the FSA will launch a series of 10-second television adverts in January telling shoppers how to follow a red, amber and green traffic light labelling system on the front of food packs, which is designed to tackle Britain's obesity epidemic.","In January, the news outlet shared that the UK's food regulation organization intends to start airing short TV ads. These commercials will inform people about an easy-to-understand red, yellow, and green labeling system on food wrappers. This project is one aspect of a wider attempt to address the increasing issue of people being too heavy and extremely overweight in the UK."
"The industry is planning a major marketing campaign for a competing labelling system which avoids colour-coding in favour of information about the percentage of ""guideline daily amounts"" (GDAs) of fat, salt and sugar contained in their products.","The industry is preparing for a big advertising push to launch a new system for labeling and explaining products. This new method will shift away from using colored signs and will plainly show how much fat, salt, and sugar is in a product compared to the daily amounts that are suggested for health."
"Sources at the TV regulators are braced for a legal challenge from the industry and have described the lobbying efforts to block any new ad ban or colour-coded labelling as ""the most ferocious we've ever experienced"".",Industry spokespeople are getting ready to start a legal fight against TV authorities who are planning to put in place a new prohibition on specific commercials and bring in the use of labels with different colors. Authorities point out that the industry's current attempts to stop these new rules are the strongest they have ever witnessed.
"The FSA is understood to have briefed its ad agency, United, before Christmas, and will aim to air ads that are ""non-confrontational, humorous and factual"" as a counterweight to industry's efforts about the same time.","The Food Standards Agency told its advertising company, United, that it planned to show funny and educational ads during the vacation season that would have a friendly and inviting tone. This strategy seeks to even out the promotional work of the industry during this period."
"Ehrlich's model shows that whilst most of these oscillations cancel each other out, some reinforce one another and become long-lived temperature variations.","Ehrlich's idea indicates that although temperature changes usually balance each other out, there are times when they strengthen one another, resulting in lasting shifts in temperature."
"For example, if sea ice begins to form because of a slight cooling, carbon dioxide that would otherwise have found its way into the atmosphere as part of the carbon cycle is locked into the ice.","As the warmth drops a bit and sea ice starts to freeze, the carbon dioxide that would usually escape into the air gets caught within the ice."
"One such cycle describes the way Earth's orbit gradually changes shape from a circle to a slight ellipse and back again roughly every 100,000 years.","Over about 100,000 years, Earth's path around the sun slowly shifts, switching between a more round path and a somewhat oval one."
"However, Edwards believes the small changes in solar heating produced by Milankovitch cycles are then amplified by feedback mechanisms on Earth.","Edwards thinks that the Earth boosts the small changes in sunlight warmth, which come from the planet's slow circular path and tilt changes, by using its natural response systems."
